# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  3.67100e+06
# Free Parameters:           24
# Data Points    :        12798
#   F2(ppm)     F1(ppm)        Data        Calc 
 8.1833e+00  1.2311e+02  1.0024e+05  4.6614e+04 
 8.1872e+00  1.2311e+02  1.3925e+05  1.3457e+04 
 8.1911e+00  1.2311e+02  1.6077e+05  3.0795e+03 
 8.1950e+00  1.2311e+02  1.6492e+05  3.1422e+02 
 8.1989e+00  1.2311e+02  1.6787e+05 -2.8480e+02 
 8.2028e+00  1.2311e+02  1.7642e+05 -3.6162e+02 
 8.2067e+00  1.2311e+02  1.8982e+05 -3.3620e+02 
 8.2106e+00  1.2311e+02  2.0132e+05 -2.9886e+02 
 8.2145e+00  1.2311e+02  2.0062e+05 -2.6518e+02 
 8.2184e+00  1.2311e+02  1.7845e+05 -2.3652e+02 
 8.2223e+00  1.2311e+02  1.3774e+05 -2.1219e+02 
 8.2262e+00  1.2311e+02  8.9292e+04 -1.9139e+02 
 8.2301e+00  1.2311e+02  4.4829e+04 -1.7349e+02 
 8.2340e+00  1.2311e+02  1.0871e+04 -1.5797e+02 
  
 8.0702e+00  1.2315e+02  1.4911e+05 -4.1422e+02 
 8.0741e+00  1.2315e+02  1.5466e+05 -4.5635e+02 
 8.0780e+00  1.2315e+02  1.2968e+05 -5.0519e+02 
 8.0819e+00  1.2315e+02  9.7793e+04 -5.6220e+02 
 8.0858e+00  1.2315e+02  7.3733e+04 -6.2924e+02 
 8.0897e+00  1.2315e+02  6.1063e+04 -7.0827e+02 
 8.0936e+00  1.2315e+02  5.3082e+04 -7.9857e+02 
 8.0975e+00  1.2315e+02  1.4663e+05 -8.7881e+02 
 8.1014e+00  1.2315e+02  1.0792e+05 -8.1214e+02 
 8.1053e+00  1.2315e+02  1.4651e+05  7.3650e+01 
 8.1092e+00  1.2315e+02  2.0524e+05  4.5410e+03 
 8.1131e+00  1.2315e+02  2.5003e+05  2.2198e+04 
 8.1170e+00  1.2315e+02  2.8607e+05  8.1217e+04 
 8.1209e+00  1.2315e+02  4.2485e+05  2.5044e+05 
 8.1248e+00  1.2315e+02  8.3353e+05  6.6716e+05 
 8.1287e+00  1.2315e+02  1.7750e+06  1.5456e+06 
 8.1326e+00  1.2315e+02  3.4310e+06  3.1204e+06 
 8.1365e+00  1.2315e+02  5.8306e+06  5.4938e+06 
 8.1404e+00  1.2315e+02  8.6769e+06  8.4372e+06 
 8.1443e+00  1.2315e+02  1.1350e+07  1.1304e+07 
 8.1482e+00  1.2315e+02  1.3104e+07  1.3214e+07 
 8.1521e+00  1.2315e+02  1.3385e+07  1.3478e+07 
 8.1560e+00  1.2315e+02  1.2072e+07  1.1995e+07 
 8.1599e+00  1.2315e+02  9.6016e+06  9.3148e+06 
 8.1638e+00  1.2315e+02  6.6817e+06  6.3104e+06 
 8.1677e+00  1.2315e+02  3.8532e+06  3.7293e+06 
 8.1716e+00  1.2315e+02  1.7167e+06  1.9221e+06 
 8.1755e+00  1.2315e+02  5.3107e+05  8.6359e+05 
 8.1794e+00  1.2315e+02  6.6306e+04  3.3771e+05 
 8.1833e+00  1.2315e+02 -2.1530e+04  1.1441e+05 
 8.1872e+00  1.2315e+02  7.6215e+03  3.3030e+04 
 8.1911e+00  1.2315e+02  3.0301e+04  7.5586e+03 
 8.1950e+00  1.2315e+02  3.7438e+04  7.7126e+02 
 8.1989e+00  1.2315e+02  6.0614e+04 -6.9904e+02 
 8.2028e+00  1.2315e+02  1.0649e+05 -8.8759e+02 
 8.2067e+00  1.2315e+02  1.6055e+05 -8.2519e+02 
 8.2106e+00  1.2315e+02  2.0206e+05 -7.3356e+02 
 8.2145e+00  1.2315e+02  2.2098e+05 -6.5087e+02 
 8.2184e+00  1.2315e+02  2.1387e+05 -5.8053e+02 
 8.2223e+00  1.2315e+02  1.8385e+05 -5.2082e+02 
 8.2262e+00  1.2315e+02  1.4033e+05 -4.6978e+02 
 8.2301e+00  1.2315e+02  9.3346e+04 -4.2583e+02 
 8.2340e+00  1.2315e+02  5.0622e+04 -3.8773e+02 
  
 8.0702e+00  1.2320e+02  8.8668e+04 -6.2707e+02 
 8.0741e+00  1.2320e+02  9.4202e+04 -6.9085e+02 
 8.0780e+00  1.2320e+02  9.7671e+04 -7.6478e+02 
 8.0819e+00  1.2320e+02  1.0306e+05 -8.5109e+02 
 8.0858e+00  1.2320e+02  1.1585e+05 -9.5259e+02 
 8.0897e+00  1.2320e+02  1.4393e+05 -1.0722e+03 
 8.0936e+00  1.2320e+02  2.2303e+05 -1.2089e+03 
 8.0975e+00  1.2320e+02  2.3792e+05 -1.3304e+03 
 8.1014e+00  1.2320e+02  2.1290e+05 -1.2295e+03 
 8.1053e+00  1.2320e+02  2.3856e+05  1.1150e+02 
 8.1092e+00  1.2320e+02  2.6924e+05  6.8745e+03 
 8.1131e+00  1.2320e+02  2.8305e+05  3.3605e+04 
 8.1170e+00  1.2320e+02  2.9152e+05  1.2295e+05 
 8.1209e+00  1.2320e+02  4.1943e+05  3.7913e+05 
 8.1248e+00  1.2320e+02  9.4614e+05  1.0100e+06 
 8.1287e+00  1.2320e+02  2.3416e+06  2.3398e+06 
 8.1326e+00  1.2320e+02  4.8966e+06  4.7239e+06 
 8.1365e+00  1.2320e+02  8.5949e+06  8.3169e+06 
 8.1404e+00  1.2320e+02  1.2969e+07  1.2773e+07 
 8.1443e+00  1.2320e+02  1.7070e+07  1.7113e+07 
 8.1482e+00  1.2320e+02  1.9752e+07  2.0004e+07 
 8.1521e+00  1.2320e+02  2.0165e+07  2.0403e+07 
 8.1560e+00  1.2320e+02  1.8139e+07  1.8159e+07 
 8.1599e+00  1.2320e+02  1.4295e+07  1.4101e+07 
 8.1638e+00  1.2320e+02  9.7370e+06  9.5531e+06 
