# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  3.06078e+04
# Free Parameters:           23
# Data Points    :        12087
#   F2(ppm)     F1(ppm)        Data        Calc 
 7.3857e+00  1.0845e+02  2.2026e+04  1.2426e+04 
 7.3897e+00  1.0845e+02  2.1375e+04  1.1078e+04 
 7.3936e+00  1.0845e+02  1.9736e+04  1.0012e+04 
  
 7.2294e+00  1.0850e+02  4.9575e+04  1.3974e+04 
 7.2333e+00  1.0850e+02  5.0244e+04  1.5397e+04 
 7.2372e+00  1.0850e+02  5.1559e+04  1.7157e+04 
 7.2411e+00  1.0850e+02  5.3877e+04  1.9459e+04 
 7.2450e+00  1.0850e+02  5.7460e+04  2.2672e+04 
 7.2489e+00  1.0850e+02  6.1993e+04  2.7438e+04 
 7.2528e+00  1.0850e+02  6.7499e+04  3.4838e+04 
 7.2568e+00  1.0850e+02  7.5265e+04  4.6580e+04 
 7.2607e+00  1.0850e+02  8.8006e+04  6.5218e+04 
 7.2646e+00  1.0850e+02  1.1034e+05  9.4297e+04 
 7.2685e+00  1.0850e+02  1.4887e+05  1.3836e+05 
 7.2724e+00  1.0850e+02  2.1150e+05  2.0269e+05 
 7.2763e+00  1.0850e+02  3.0570e+05  2.9260e+05 
 7.2802e+00  1.0850e+02  4.3457e+05  4.1241e+05 
 7.2841e+00  1.0850e+02  5.9687e+05  5.6402e+05 
 7.2880e+00  1.0850e+02  7.8794e+05  7.4541e+05 
 7.2919e+00  1.0850e+02  9.9778e+05  9.4949e+05 
 7.2958e+00  1.0850e+02  1.2110e+06  1.1636e+06 
 7.2998e+00  1.0850e+02  1.4082e+06  1.3698e+06 
 7.3037e+00  1.0850e+02  1.5691e+06  1.5469e+06 
 7.3076e+00  1.0850e+02  1.6754e+06  1.6725e+06 
 7.3115e+00  1.0850e+02  1.7147e+06  1.7285e+06 
 7.3154e+00  1.0850e+02  1.6828e+06  1.7057e+06 
 7.3193e+00  1.0850e+02  1.5836e+06  1.6079e+06 
 7.3232e+00  1.0850e+02  1.4293e+06  1.4502e+06 
 7.3271e+00  1.0850e+02  1.2375e+06  1.2537e+06 
 7.3310e+00  1.0850e+02  1.0283e+06  1.0405e+06 
 7.3349e+00  1.0850e+02  8.2031e+05  8.3026e+05 
 7.3388e+00  1.0850e+02  6.2921e+05  6.3801e+05 
 7.3427e+00  1.0850e+02  4.6543e+05  4.7318e+05 
 7.3467e+00  1.0850e+02  3.3387e+05  3.3984e+05 
 7.3506e+00  1.0850e+02  2.3362e+05  2.3761e+05 
 7.3545e+00  1.0850e+02  1.5976e+05  1.6300e+05 
 7.3584e+00  1.0850e+02  1.0852e+05  1.1096e+05 
 7.3623e+00  1.0850e+02  7.5525e+04  7.6097e+04 
 7.3662e+00  1.0850e+02  5.4851e+04  5.3501e+04 
 7.3701e+00  1.0850e+02  4.2373e+04  3.9186e+04 
 7.3740e+00  1.0850e+02  3.5260e+04  3.0189e+04 
 7.3779e+00  1.0850e+02  3.1435e+04  2.4463e+04 
 7.3818e+00  1.0850e+02  2.9377e+04  2.0688e+04 
 7.3857e+00  1.0850e+02  2.7930e+04  1.8056e+04 
 7.3897e+00  1.0850e+02  2.6324e+04  1.6097e+04 
 7.3936e+00  1.0850e+02  2.4207e+04  1.4548e+04 
  
 7.2294e+00  1.0854e+02  4.3703e+04  1.6535e+04 
 7.2333e+00  1.0854e+02  4.5077e+04  1.8218e+04 
 7.2372e+00  1.0854e+02  4.7446e+04  2.0301e+04 
 7.2411e+00  1.0854e+02  5.0899e+04  2.3025e+04 
 7.2450e+00  1.0854e+02  5.5634e+04  2.6826e+04 
 7.2489e+00  1.0854e+02  6.1485e+04  3.2466e+04 
 7.2528e+00  1.0854e+02  6.8255e+04  4.1221e+04 
 7.2568e+00  1.0854e+02  7.7085e+04  5.5116e+04 
 7.2607e+00  1.0854e+02  9.0958e+04  7.7168e+04 
 7.2646e+00  1.0854e+02  1.1508e+05  1.1158e+05 
 7.2685e+00  1.0854e+02  1.5702e+05  1.6372e+05 
 7.2724e+00  1.0854e+02  2.2592e+05  2.3983e+05 
 7.2763e+00  1.0854e+02  3.3073e+05  3.4621e+05 
 7.2802e+00  1.0854e+02  4.7715e+05  4.8798e+05 
 7.2841e+00  1.0854e+02  6.6496e+05  6.6737e+05 
 7.2880e+00  1.0854e+02  8.8878e+05  8.8200e+05 
 7.2919e+00  1.0854e+02  1.1370e+06  1.1235e+06 
 7.2958e+00  1.0854e+02  1.3912e+06  1.3768e+06 
 7.2998e+00  1.0854e+02  1.6280e+06  1.6208e+06 
 7.3037e+00  1.0854e+02  1.8229e+06  1.8303e+06 
 7.3076e+00  1.0854e+02  1.9545e+06  1.9790e+06 
 7.3115e+00  1.0854e+02  2.0081e+06  2.0452e+06 
 7.3154e+00  1.0854e+02  1.9782e+06  2.0182e+06 
 7.3193e+00  1.0854e+02  1.8691e+06  1.9026e+06 
 7.3232e+00  1.0854e+02  1.6939e+06  1.7159e+06 
 7.3271e+00  1.0854e+02  1.4731e+06  1.4834e+06 
 7.3310e+00  1.0854e+02  1.2299e+06  1.2311e+06 
 7.3349e+00  1.0854e+02  9.8648e+05  9.8240e+05 
 7.3388e+00  1.0854e+02  7.6071e+05  7.5491e+05 
 7.3427e+00  1.0854e+02  5.6504e+05  5.5988e+05 
 7.3467e+00  1.0854e+02  4.0603e+05  4.0212e+05 
 7.3506e+00  1.0854e+02  2.8479e+05  2.8115e+05 
 7.3545e+00  1.0854e+02  1.9596e+05  1.9286e+05 
 7.3584e+00  1.0854e+02  1.3367e+05  1.3129e+05 
 7.3623e+00  1.0854e+02  9.4210e+04  9.0041e+04 
 7.3662e+00  1.0854e+02  6.9973e+04  6.3305e+04 
 7.3701e+00  1.0854e+02  5.4768e+04  4.6367e+04 
 7.3740e+00  1.0854e+02  4.5062e+04  3.5721e+04 
 7.3779e+00  1.0854e+02  3.8650e+04  2.8946e+04 
 7.3818e+00  1.0854e+02  3.4105e+04  2.4479e+04 
 7.3857e+00  1.0854e+02  3.0508e+04  2.1364e+04 
 7.3897e+00  1.0854e+02  2.7326e+04  1.9047e+04 
